#,Geochemistry Reference,Province,Location,Sample Name,Rock Type,Latitude,Longitude,Age,Age reference,Sm (ppm),Nd (ppm),Rb (ppm),Sr (ppm),U (ppm),Pb (ppm),Th (ppm),143Nd/144Nd measured,87Sr/86Sr measured,206Pb/204Pb measured,207Pb/204Pb measured,208Pb/204Pb measured,147Sm/144Nd,143Nd/144Nd_i,87Rb/86Sr,87Sr/86Sr_i,238U/204Pb,235U/204Pb,232Th/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i
237,[59],Kerguelen Archipelago,Mount Crozier,s OB93-177 ,"Basalt, Alkaline ",-48.55,68.5,25,[70],,,,,,,,,,18.453,15.562,39.064,,,,,,,,,,
238,[59],Kerguelen Archipelago,Mount Crozier,s OB93-177 ,"Basalt, Alkaline ",-48.55,68.5,25,[70],,,,,,,,,,18.453,15.563,39.065,,,,,,,,,,
239,[59],Kerguelen Archipelago,Mount Crozier,s OB93-177 ,"Basalt, Alkaline ",-48.55,68.5,25,[70],,,,,,,,,,18.448,15.560,39.058,,,,,,,,,,
240,[59],Kerguelen Archipelago,Mount Crozier,s OB93-202 ,"Basalt, Alkaline ",-48.55,68.5,25,[70],,,,,,,,,,18.492,15.573,39.125,,,,,,,,,,
241,[59],Kerguelen Archipelago,Mount Crozier,s OB93-202 ,"Basalt, Alkaline ",-48.55,68.5,25,[70],,,,,,,,,,18.496,15.572,39.112,,,,,,,,,,
242,[59],Kerguelen Archipelago,Mount Crozier,s OB93-202 ,"Basalt, Alkaline ",-48.55,68.5,25,[70],,,,,,,,,,18.493,15.573,39.109,,,,,,,,,,
243,[59],Kerguelen Archipelago,Mount Crozier,s OB93-202 ,"Basalt, Alkaline ",-48.55,68.5,25,[70],,,,,,,,,,18.498,15.574,39.117,,,,,,,,,,
244,[60][59],Kerguelen Archipelago,Mount Crozier,s OB93-165 ,"Basalt  / Basalt, Alkaline ",-48.55,68.5,25,[70],,,,,,,,0.512621,0.705298,18.587,15.574,39.288,,,,,,,,,,
129,[79],Kerguelen Archipelago,Mount Rabouillere,s GM92-127 ,"Basalt, Transitional  / Basalt ",-48.55,68.5,29,[70],8.9,40.8,32.2,338.0,0.6,2.3,3.0,0.512573,0.705293,18.182,15.578,38.940,0.131,0.512548,0.276,0.705179,16.36,0.12,85.07,18.108,15.575,38.818
125,[79],Kerguelen Archipelago,Mount Rabouillere,s GM92-153 ,"Basalt, Transitional  / Basalt ",-48.55,68.5,29,[70],8.8,37.7,18.3,335.0,0.5,2.1,3.3,0.512603,0.705153,18.288,15.574,38.970,0.141,0.512576,0.158,0.705088,14.95,0.11,102.61,18.220,15.571,38.823
127,[79],Kerguelen Archipelago,Mount Rabouillere,s GM92-144 ,"Basalt, Transitional  / Basalt ",-48.55,68.5,29,[70],7.1,30.9,10.2,334.0,0.4,1.8,2.8,0.512609,0.705104,18.438,15.581,39.120,0.140,0.512583,0.088,0.705068,14.02,0.10,102.10,18.375,15.578,38.973
128,[79],Kerguelen Archipelago,Mount Rabouillere,s GM92-129 ,"Basalt, Transitional  / Basalt ",-48.55,68.5,29,[70],3.0,11.0,2.9,214.0,0.1,0.2,0.5,0.512715,0.704516,18.202,15.547,38.650,0.163,0.512684,0.039,0.704500,16.43,0.12,156.21,18.128,15.544,38.426
126,[79],Kerguelen Archipelago,Mount Rabouillere,s GM92-145 ,"Basalt, Transitional  / Basalt ",-48.55,68.5,29,[70],3.6,13.0,12.5,275.0,0.2,0.7,0.8,0.512679,0.704296,18.398,15.558,38.830,0.167,0.512647,0.131,0.704242,16.86,0.12,81.32,18.322,15.554,38.713
306,[73],Kerguelen Archipelago,Mount Ross,s 121 ,Gabbro ,-49.58,69.5,1,[83],8.0,40.4,43.0,945.0,1.2,4.1,5.4,0.512601,0.705167,18.080,15.530,38.510,0.119,0.512600,0.132,0.705165,18.21,0.13,84.03,18.077,15.530,38.506
283,[73],Kerguelen Archipelago,Mount Ross,s 128 ,Trachybasalt ,-49.58,69.5,22,[83],8.1,40.1,36.9,756.0,0.8,2.8,3.9,0.512614,0.704999,18.380,15.547,38.960,0.122,0.512596,0.141,0.704955,18.86,0.14,90.47,18.315,15.544,38.861
285,[73],Kerguelen Archipelago,Mount Ross,s 145 ,Gabbro ,-49.58,69.5,20,[83],3.6,17.5,,,0.4,1.6,1.6,0.512673,0.704808,18.346,15.444,38.840,0.123,0.512657,,,14.48,0.11,63.92,18.301,15.442,38.777
282,[73],Kerguelen Archipelago,Mount Ross,s 83 ,Gabbro ,-49.58,69.5,22,[83],4.6,18.9,,,0.5,1.4,1.8,0.512658,0.705023,18.017,15.488,38.390,0.146,0.512637,,,21.26,0.16,80.10,17.944,15.485,38.303
265,[73],Kerguelen Archipelago,Mount Ross,s 91 ,Gabbro ,-49.58,69.5,24,[83],7.8,40.0,,,1.2,5.4,5.4,0.512622,0.705120,18.327,15.546,38.900,0.117,0.512604,,,13.95,0.10,64.37,18.275,15.544,38.824
284,[73],Kerguelen Archipelago,Mount Ross,s 78 ,Gabbro ,-49.58,69.5,21,[83],5.0,22.1,,,0.5,1.9,2.0,0.512590,0.705486,18.397,15.557,39.010,0.137,0.512571,,,15.23,0.11,68.78,18.347,15.555,38.938
246,[58],Kerguelen Archipelago,Mount Tizzard,s MG-91-106 ,"Gabbro, Ilmenite ",-48.55,68.5,25,[70],2.5,6.7,,209.0,,0.2,,0.512780,0.704670,18.125,15.528,38.626,0.221,0.512744,0.000,0.704670,0.00,0.00,0.00,,,
247,[58],Kerguelen Archipelago,Mount Tizzard,s GM-92-419 ,"Gabbro, Ilmenite ",-48.55,68.5,25,[70],2.4,6.4,0.4,89.8,0.0,0.2,,0.512880,0.704250,18.184,15.532,38.464,0.229,0.512843,0.012,0.704246,1.87,0.01,0.00,,,
245,[58],Kerguelen Archipelago,Mount Tizzard,s MG-91-116 ,Gabbro ,-48.55,68.5,25,[70],0.1,0.2,0.1,112.0,0.0,0.0,,,0.704220,18.174,15.570,38.181,0.166,,0.002,0.704219,12.41,0.09,0.00,,,
248,[58],Kerguelen Archipelago,Mount Tizzard,s MG-91-116 ,Gabbro ,-48.55,68.5,25,[70],,0.1,,,,,,0.512840,0.704320,,,,0.000,0.512840,,,,,,,,
249,[50],Kerguelen Archipelago,Plateau Central,s 85-12 ,"Basalt, Transitional ",-48.55,68.5,25,[70],5.5,23.5,12.0,380.0,0.4,1.6,2.0,0.512730,0.704880,18.377,15.539,38.813,0.141,0.512707,0.091,0.704848,16.44,0.12,79.43,18.313,15.536,38.715
250,[50],Kerguelen Archipelago,Plateau Central,s 85-55 ,"Basalt, Transitional ",-48.55,68.5,25,[70],6.2,31.5,,349.0,0.5,2.0,2.5,0.512750,0.704830,18.467,15.528,38.817,0.120,0.512730,0.000,0.704830,15.86,0.12,81.60,18.405,15.525,38.716
288,[40][39],Kerguelen Archipelago,Rallier du Baty,s 3315 ,Basanite ,-48.55,68.5,15,[40],6.5,28.4,19.0,646.0,,,,0.512711,0.704650,18.065,15.463,38.173,0.138,0.512697,0.085,0.704632,,,,,,
289,[40],Kerguelen Archipelago,Rallier du Baty,s 2599 ,Gabbro ,-48.55,68.5,14,[40],,,,,,,,,,18.679,15.609,39.379,,,,,,,,,,
290,[40],Kerguelen Archipelago,Rallier du Baty,s 2603 ,Gabbro ,-48.55,68.5,14,[40],,,,,,,,,,18.574,15.627,39.230,,,,,,,,,,
291,[40],Kerguelen Archipelago,Rallier du Baty,s 2678 ,Gabbro ,-48.55,68.5,14,[40],,,,,,,,,,18.580,15.583,39.282,,,,,,,,,,
292,[40],Kerguelen Archipelago,Rallier du Baty,s 2679 ,Gabbro ,-48.55,68.5,14,[40],,,,,,,,,,18.481,15.526,39.029,,,,,,,,,,
293,[40],Kerguelen Archipelago,Rallier du Baty,s 2680 ,Gabbro ,-48.55,68.5,14,[40],,,,,,,,,,18.531,15.565,39.126,,,,,,,,,,
294,[40],Kerguelen Archipelago,Rallier du Baty,s 2683 ,Gabbro ,-48.55,68.5,14,[40],,,,,,,,,,18.509,15.554,39.118,,,,,,,,,,
257,[48],Kerguelen Archipelago,Ravin Du Charbon,s 734 ,"Basalt, Alkaline ",-48.55,68.5,25,[48],9.3,48.7,53.6,744.0,,,6.4,0.512602,0.705299,18.412,15.553,39.048,0.116,0.512583,0.208,0.705225,,,,,,
254,[48],Kerguelen Archipelago,Ravin Du Charbon,s 720 ,Trachybasalt ,-48.55,68.5,25,[48],8.0,39.3,42.3,536.0,,,6.4,0.512613,0.705297,18.538,15.540,39.098,0.124,0.512593,0.228,0.705216,,,,,,
256,[48],Kerguelen Archipelago,Ravin Du Charbon,s 731 ,Trachybasalt ,-48.55,68.5,25,[48],8.1,38.7,47.9,844.0,,,6.5,0.512639,0.705231,18.500,15.554,39.088,0.126,0.512618,0.164,0.705173,,,,,,
255,[48],Kerguelen Archipelago,Ravin Du Charbon,s 729 ,"Basalt, Alkaline ",-48.55,68.5,25,[48],8.5,42.3,37.0,625.0,,,5.3,0.512637,0.705200,18.466,15.535,39.004,0.122,0.512617,0.171,0.705139,,,,,,
252,[48],Kerguelen Archipelago,Ravin Du Charbon,s 271 ,Trachybasalt ,-48.55,68.5,25,[48],10.0,48.2,37.3,873.0,,,5.1,0.512647,0.705169,18.534,15.570,39.128,0.125,0.512627,0.124,0.705125,,,,,,
251,[48],Kerguelen Archipelago,Ravin Du Charbon,s 273 ,Trachybasalt ,-48.55,68.5,25,[48],9.0,42.6,35.0,872.0,,,4.4,0.512651,0.705163,18.518,15.578,39.137,0.128,0.512630,0.116,0.705122,,,,,,
253,[48],Kerguelen Archipelago,Ravin Du Charbon,s 717 ,Trachybasalt ,-48.55,68.5,25,[48],9.5,45.5,41.8,494.0,,,5.5,0.512646,0.705188,18.558,15.561,39.059,0.126,0.512625,0.245,0.705101,,,,,,
258,[48],Kerguelen Archipelago,Ravin Du Charbon,s 714 ,"Basalt, Alkaline ",-48.55,68.5,25,[48],7.1,31.8,34.4,558.0,,,4.3,0.512644,0.704892,18.237,15.523,38.616,0.134,0.512622,0.178,0.704829,,,,,,
259,[48],Kerguelen Archipelago,Ravin Jaune,s 678 ,"Basalt, Alkaline ",-48.55,68.5,25,[48],6.9,29.5,25.2,421.0,,,3.2,0.512635,0.705223,18.450,15.531,38.974,0.141,0.512612,0.173,0.705162,,,,,,
260,[48],Kerguelen Archipelago,Ravin Jaune,s 685 ,"Basalt, Alkaline ",-48.55,68.5,25,[48],7.7,35.8,40.4,411.0,,,4.2,0.512603,0.705249,18.441,15.561,39.059,0.130,0.512582,0.284,0.705148,,,,,,
261,[48],Kerguelen Archipelago,Ravin Jaune,s 682 ,Basanite ,-48.55,68.5,25,[48],9.6,47.1,55.1,818.0,,,6.8,0.512630,0.704978,18.258,15.517,38.645,0.123,0.512610,0.195,0.704909,,,,,,
262,[48],Kerguelen Archipelago,Ravin Jaune,s 685 ,"Basalt, Alkaline ",-48.55,68.5,25,[70],,,,,,,,,0.705260,18.418,15.531,38.978,,,,,,,,,,
300,[74],Kerguelen Archipelago,Ronarch Peninsula,s ARC321 ,Basanite ,-48.55,68.5,10,[74],16.9,97.7,86.4,1274.0,2.2,8.1,9.9,0.512490,0.705760,18.071,15.560,38.879,0.105,0.512483,0.196,0.705732,16.98,0.12,78.98,18.045,15.559,38.840
298,[74],Kerguelen Archipelago,Ronarch Peninsula,s LVLK70 ,"Basalt, Alkaline  / Basalt ",-48.55,68.5,10,[74],5.4,25.5,26.0,380.0,0.7,2.2,2.9,0.512660,0.705200,18.526,15.591,39.165,0.128,0.512652,0.198,0.705172,20.11,0.15,84.89,18.495,15.590,39.123
130,[68],Kerguelen Archipelago,Shield Stage,s BM64947 ,Tholeiite ,-48.55,68.5,29,[70],3.0,13.3,14.0,213.0,0.2,,1.6,0.512672,0.704990,,,,0.136,0.512646,0.190,0.704912,,,,,,
131,[68],Kerguelen Archipelago,Shield Stage,s BM75061 ,Tholeiite ,-48.55,68.5,29,[70],3.4,15.3,4.0,271.0,,,1.7,0.512665,0.704920,,,,0.134,0.512640,0.043,0.704902,,,,,,
132,[68],Kerguelen Archipelago,Shield Stage,s BM64881 ,Tholeiite ,-48.55,68.5,29,[70],3.3,12.6,3.0,385.0,,,0.5,0.512778,0.704750,,,,0.158,0.512748,0.023,0.704741,,,,,,
133,[68],Kerguelen Archipelago,Shield Stage,s BM64878 ,"Basalt, Alkaline ",-48.55,68.5,29,[70],7.9,34.0,14.0,513.0,0.3,,1.1,0.512790,0.704590,18.112,15.481,38.290,0.140,0.512763,0.079,0.704557,,,,,,
134,[68],Kerguelen Archipelago,Shield Stage,s BM75059 ,"Basalt, Alkaline ",-48.55,68.5,29,[70],6.7,31.0,15.0,768.0,0.3,,1.4,0.512827,0.704400,18.313,15.592,38.477,0.131,0.512802,0.056,0.704377,,,,,,
136,[68],Kerguelen Archipelago,Shield Stage,s BM75179 ,"Basalt, Alkaline ",-48.55,68.5,29,[70],,,19.0,1044.0,,,,0.512824,0.704270,,,,,,0.053,0.704248,,,,,,
135,[68],Kerguelen Archipelago,Shield Stage,s BM64886 ,"Basalt, Alkaline ",-48.55,68.5,29,[70],8.7,51.0,15.0,975.0,1.1,,2.2,0.512828,,18.088,15.504,38.288,0.103,0.512808,0.041,,,,,,,
271,[67],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s MPC99-46 ,Gabbro ,-49.729124,70.075181,24,[67],3.3,14.0,12.7,510.0,0.3,1.3,1.8,0.512580,0.705362,18.348,15.537,38.930,0.141,0.512558,0.072,0.705337,15.58,0.11,87.33,18.290,15.534,38.826
272,[67],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s MPC99-60 ,Gabbro ,-49.716361,70.077749,24,[67],5.2,23.7,23.0,586.0,0.4,2.7,2.6,0.512567,0.705284,18.412,15.543,38.970,0.133,0.512546,0.114,0.705245,8.78,0.06,62.53,18.379,15.541,38.896
266,[75],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s K92 ,"Gabbro, Clinopyroxene-Olivine ",-48.55,68.5,24,[67],,,9.8,546.0,0.3,1.1,,,0.705260,18.377,15.546,38.805,,,0.052,0.705242,15.10,0.11,0.00,,,
281,[51][75],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s K90 ,"Gabbro  / Gabbro, Clinopyroxene-Olivine ",-48.55,68.5,24,[67],,,11.5,495.0,0.3,1.9,,0.512660,0.705260,18.463,15.563,39.032,,,0.067,0.705237,11.16,0.08,0.00,18.421,15.561,39.032
270,[67],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s MPC99-40 ,"Clinopyroxenite, Olivine ",-49.724819,70.080742,24,[67],1.5,5.8,2.1,235.0,0.0,0.6,0.2,0.512616,0.705217,18.435,15.531,38.980,0.156,0.512591,0.026,0.705208,4.41,0.03,23.95,18.418,15.530,38.952
273,[67],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s MPC99-51 ,Gabbro ,-49.72067,70.07524,24,[67],7.5,33.7,35.8,466.0,0.6,2.8,3.6,0.512581,0.705269,18.449,15.531,38.990,0.135,0.512560,0.222,0.705193,13.81,0.10,83.03,18.397,15.529,38.891
275,[67],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s MPC99-25 ,Gabbro ,-49.710217,70.079229,24,[67],8.4,38.3,39.2,527.0,0.8,2.6,4.2,0.512586,0.705248,18.367,15.539,38.910,0.132,0.512565,0.215,0.705175,18.40,0.14,107.22,18.298,15.536,38.783
274,[67],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s MPC99-24 ,Gabbro ,-49.710217,70.079229,24,[67],8.8,39.9,40.7,531.0,0.9,3.4,4.3,0.512588,0.705232,18.331,15.504,38.830,0.133,0.512567,0.222,0.705156,15.80,0.12,82.42,18.272,15.501,38.732
268,[67],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s MPC99-38 ,Wehrlite ,-49.711446,70.080074,24,[67],1.7,7.3,7.2,160.0,0.1,0.6,0.6,0.512626,0.705140,18.488,15.536,39.050,0.143,0.512604,0.130,0.705096,12.16,0.09,70.83,18.443,15.534,38.966
267,[67],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s MPC99-34 ,Wehrlite ,-49.711446,70.080074,24,[67],1.9,7.5,9.4,177.0,0.2,0.5,0.7,0.512632,0.705056,18.512,15.555,39.090,0.153,0.512608,0.154,0.705004,20.13,0.15,101.25,18.437,15.551,38.970
269,[67],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s MPC99-36 ,"Clinopyroxenite, Olivine ",-49.711446,70.080074,24,[67],3.2,13.2,13.1,226.0,0.3,1.0,1.4,0.512635,0.705060,18.464,15.541,39.010,0.147,0.512612,0.168,0.705003,19.22,0.14,93.14,18.392,15.538,38.899
276,[67],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s MPC99-51 ,Gabbro ,-49.72067,70.07524,24,[67],,,,,,,,,,18.475,15.551,39.040,,,,,,,,,,
277,[67],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s MPC99-24 ,Gabbro ,-49.710217,70.079229,24,[67],,,,,,,,,,18.368,15.537,38.930,,,,,,,,,,
278,[67],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s MPC99-24 ,Gabbro ,-49.710217,70.079229,24,[67],,,,,,,,,,18.389,15.563,39.000,,,,,,,,,,
279,[67],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s MPC99-25 ,Gabbro ,-49.710217,70.079229,24,[67],,,,,,,,,,18.378,15.545,38.940,,,,,,,,,,
280,[67],Kerguelen Archipelago,Val Gabbro Plutonic Suite,s MPC99-25 ,Gabbro ,-49.710217,70.079229,24,[67],,,,,,,,,,18.385,15.555,38.970,,,,,,,,,,
312,[28],Kerguelen Plateau (Central),"MD48, Dredge 8",s DR08 ,"Basalt, Transitional ",-50.317,74.817,100,[4],3.2,13.3,65.1,799.2,1.3,6.2,,0.512540,0.706110,17.938,15.549,38.521,0.145,,0.236,0.705775,12.54,0.09,0.00,17.741,15.539,38.521
314,[28],Kerguelen Plateau (Central),"MD48, Dredge 8",s DR08/05 ,"Basalt, Transitional ",-50.317,74.817,100,[4],3.3,12.1,52.7,583.7,0.5,2.2,,0.512700,0.705430,18.419,15.542,38.767,0.165,0.512592,0.261,0.705059,14.32,0.11,0.00,18.195,15.531,38.767
315,[25],Kerguelen Plateau (Central),"ODP Leg 120, Site 747","s 120-747C-16R-2,81-84 ",Tholeiite ,-54.8114,76.794,100,[4],,,,,,,,0.512410,0.705866,17.608,15.508,38.072,,,,,,,,,,
316,[11],Kerguelen Plateau (Central),"ODP Leg 120, Site 747","s 120-747C-14R-1,31-35 ",Tholeiite  / Basalt ,-54.8114,76.794,100,[4],4.6,19.2,4.4,253.0,0.2,2.4,1.6,0.512412,0.705738,17.427,15.448,37.863,0.144,,0.050,,4.85,0.04,43.27,17.351,15.444,37.648
317,[11],Kerguelen Plateau (Central),"ODP Leg 120, Site 747",s 120-747C-13R-3.24-28 ,Tholeiite ,-54.8114,76.794,100,[4],5.3,22.9,10.3,275.0,0.2,3.0,1.8,0.512423,0.705781,17.463,15.459,37.881,0.141,,0.108,,4.92,0.04,37.49,17.386,15.455,37.695
318,[11],Kerguelen Plateau (Central),"ODP Leg 120, Site 747","s 120-747C-16R-2,53-59 ",Tholeiite ,-54.8114,76.794,100,[4],3.3,14.9,18.0,259.0,0.1,1.7,1.0,0.512435,0.705886,17.656,15.523,38.114,0.134,,0.201,,4.93,0.04,36.57,17.579,15.519,37.933
319,[25],Kerguelen Plateau (Central),"ODP Leg 120, Site 747","s 120-747C-12R-4,45-46 ",Tholeiite ,-54.8114,76.794,100,[4],,,,,,,,0.512435,0.705508,17.466,15.461,37.977,,,,,,,,,,
320,[11],Kerguelen Plateau (Central),"ODP Leg 120, Site 747",s 120-747C-15R-2.134-139 ,Tholeiite ,-54.8114,76.794,100,[4],4.0,17.9,9.9,243.0,0.2,2.2,1.1,0.512436,0.705742,17.709,15.502,38.092,0.136,,0.118,,5.24,0.04,32.21,17.627,15.498,37.932
321,[11],Kerguelen Plateau (Central),"ODP Leg 120, Site 747","s 120-747C-16R-5,17-21 ",Tholeiite ,-54.8114,76.794,100,[4],3.6,15.3,2.6,274.0,0.2,1.9,1.2,0.512444,0.750719,17.594,15.519,38.094,0.141,,0.028,,6.17,0.05,38.42,17.497,15.514,37.903
322,[25],Kerguelen Plateau (Central),"ODP Leg 120, Site 747","s 120-747C-12R-2,122-124 ",Tholeiite ,-54.8114,76.794,100,[4],,,,,,,,0.512445,0.705660,,,,,,,,,,,,,
323,[11],Kerguelen Plateau (Central),"ODP Leg 120, Site 747","s 120-747C-11R-1,0-5 ",Tholeiite ,-54.8114,76.794,100,[4],5.0,21.0,11.3,271.0,0.5,3.3,1.7,0.512450,0.705552,17.421,15.439,37.826,0.144,,0.121,,9.18,0.07,31.80,17.277,15.432,37.668
324,[25],Kerguelen Plateau (Central),"ODP Leg 120, Site 747","s 120-747C-16R-2,85-87 ",Tholeiite ,-54.8114,76.794,100,[4],,,,,,,,0.512452,0.705895,18.275,15.643,38.459,,,,,,,,,,
325,[11],Kerguelen Plateau (Central),"ODP Leg 120, Site 747","s 120-747C-15R-1,15-19 ",Tholeiite  / Basalt ,-54.8114,76.794,100,[4],3.9,17.5,19.2,220.0,0.2,2.3,1.1,0.512454,0.705828,17.647,15.516,38.129,0.135,,0.252,,4.63,0.03,31.21,17.574,15.512,37.974
326,[11],Kerguelen Plateau (Central),"ODP Leg 120, Site 747","s 120-747C-12R-4,53-56 ",Tholeiite  / Basalt ,-54.8114,76.794,100,[4],4.1,16.8,2.6,252.0,0.2,2.2,1.2,0.512457,0.705533,17.360,15.388,37.723,0.146,,0.029,,6.22,0.05,34.77,17.262,15.383,37.551
327,[11],Kerguelen Plateau (Central),"ODP Leg 120, Site 747",s 120-747C-14R-2.27-31 ,Tholeiite ,-54.8114,76.794,100,[4],,,,,,,,0.512470,,,,,,,,,,,,,,
328,[11],Kerguelen Plateau (Central),"ODP Leg 120, Site 747",s 120-747C-14R-2.27-31 ,Tholeiite ,-54.8114,76.794,100,[4],5.4,24.6,24.5,203.0,0.3,2.8,2.2,0.512494,0.705639,17.399,15.414,37.828,0.132,,0.349,,6.55,0.05,49.43,17.296,15.409,37.583
329,[21],Kerguelen Plateau (Central),"ODP Leg 183, Site 1138","s 183-1138A-74R1,4_LEACHED ",Tholeiite ,-53.5517,75.9717,100,[9],2.7,11.8,12.8,179.5,1.1,5.8,4.5,0.512608,0.706800,17.966,15.478,38.305,0.137,0.512519,0.206,0.706507,11.81,0.09,49.01,17.781,15.469,38.062
334,[21],Kerguelen Plateau (Central),"ODP Leg 183, Site 1138","s 183-1138A-80R5,1D_LEACHED ",Tholeiite ,-53.5517,75.9717,100,[9],1.1,2.9,0.6,245.2,0.1,0.6,0.0,0.512684,0.704670,17.994,15.498,38.203,0.220,0.512540,0.007,0.704660,5.58,0.04,4.55,17.907,15.494,38.180
335,[21],Kerguelen Plateau (Central),"ODP Leg 183, Site 1138","s 183-1138A-86R3,2_LEACHED ",Tholeiite ,-53.5517,75.9717,100,[9],2.1,5.6,2.0,180.9,0.1,0.5,0.2,0.512686,0.704690,18.117,15.493,38.417,0.226,0.512538,0.031,0.704645,12.56,0.09,24.69,17.920,15.483,38.295
336,[21],Kerguelen Plateau (Central),"ODP Leg 183, Site 1138","s 183-1138A-89R3,1A_LEACHED ",Tholeiite ,-53.5517,75.9717,100,[9],2.0,5.2,0.4,221.6,0.0,0.4,0.1,0.512698,0.704650,18.060,15.495,38.342,0.233,0.512545,0.005,0.704643,4.85,0.04,10.17,17.984,15.491,38.292
337,[21],Kerguelen Plateau (Central),"ODP Leg 183, Site 1138","s 183-1138A-84R5,3_LEACHED ",Tholeiite ,-53.5517,75.9717,100,[9],2.6,7.2,7.5,179.0,0.1,1.1,0.6,0.512699,0.704780,18.124,15.500,38.377,0.217,0.512557,0.122,0.704607,8.59,0.06,37.94,17.989,15.493,38.189
330,[21],Kerguelen Plateau (Central),"ODP Leg 183, Site 1138","s 183-1138A-80R5,1D ",Tholeiite ,-53.5517,75.9717,100,[9],4.5,17.3,1.0,237.7,0.2,1.6,1.1,0.512632,0.704780,18.063,15.501,38.383,0.159,,0.013,,7.75,0.06,43.79,17.941,15.495,38.166
331,[21],Kerguelen Plateau (Central),"ODP Leg 183, Site 1138","s 183-1138A-86R3,2 ",Tholeiite ,-53.5517,75.9717,100,[9],6.7,26.4,3.1,159.4,0.5,2.2,2.2,0.512634,0.704720,18.157,15.512,38.482,0.154,,0.057,,13.73,0.10,64.25,17.942,15.502,38.163
332,[21],Kerguelen Plateau (Central),"ODP Leg 183, Site 1138","s 183-1138A-89R3,1A ",Tholeiite ,-53.5517,75.9717,100,[9],8.1,32.2,2.0,217.9,0.6,3.2,2.5,0.512638,0.704710,18.109,15.499,38.390,0.152,,0.027,,10.97,0.08,49.48,17.937,15.491,38.145
333,[21],Kerguelen Plateau (Central),"ODP Leg 183, Site 1138","s 183-1138A-84R5,3  / s 183-1138A-84R-5,PIECE3 ",Tholeiite  / Basalt ,-53.5517,75.9717,100,[9],5.4,21.2,8.5,203.7,0.4,2.0,1.5,0.512652,0.704800,18.150,15.497,38.404,0.154,,0.121,,11.30,0.08,49.37,17.973,15.488,38.159
349,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-33R-5,20-26 ",Rhyolite ,-56.8333,68.0933,107,[9],17.0,98.0,202.0,33.0,4.0,35.0,34.0,0.512264,0.738757,18.608,15.821,39.773,0.105,0.512191,17.764,0.711745,7.31,0.05,64.22,18.485,15.815,39.432
350,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-34R-4,86-91 ",Rhyolite ,-56.8333,68.0933,107,[9],17.0,107.0,198.0,41.0,2.8,29.0,36.0,0.512267,0.732749,18.586,15.828,39.807,0.096,0.512200,14.007,0.711451,6.18,0.05,82.08,18.482,15.823,39.371
341,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-33R-3,46-49 ",Sandstone ,-56.8333,68.0933,107,[9],14.0,77.0,157.0,109.0,3.7,,24.0,0.512218,0.717731,18.576,15.826,39.858,0.110,0.512141,4.171,0.711388,,,,,,
342,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-33R-2,107-110 ",Sandstone ,-56.8333,68.0933,107,[9],14.0,81.0,133.0,96.0,3.1,20.0,19.0,0.512233,0.717273,18.563,15.837,39.962,0.104,0.512160,4.012,0.711172,9.94,0.07,62.93,18.396,15.829,39.628
344,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-34R-1,55-62 ",Rhyolite ,-56.8333,68.0933,107,[9],14.0,85.0,204.0,38.0,3.0,29.0,35.0,0.512245,0.734575,18.589,15.827,39.827,0.100,0.512175,15.573,0.710895,6.62,0.05,79.83,18.478,15.822,39.403
343,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-33R-3,90-93 ",Sandstone ,-56.8333,68.0933,107,[9],14.0,85.0,130.0,110.0,2.0,24.0,18.0,0.512235,0.715949,18.536,15.823,39.749,0.100,0.512165,3.422,0.710745,5.32,0.04,49.52,18.447,15.819,39.486
345,[14],Kerguelen Plateau (Elan Bank),"ODP Leg 183, Site 1137","s 183-1137A-33R-4,126-129 ",Trachyte ,-56.8333,68.0933,107,[9],12.0,66.0,129.0,187.0,2.7,24.0,19.0,0.512250,0.713467,18.560,15.820,39.799,0.110,0.512173,1.997,0.710430,7.19,0.05,52.32,18.439,15.814,39.521
